Player ID,Player Name,Overall Rating,Potential Value,Potential String,Height,Height Value,League,League Value,Position,Position Value,Country,Country Value,Volatility,Volatility Factor,Precision,Precision Factor,Overall Component,Potential Component,Height Component,League Component,Position Component,Country Component,Pre-Random Total,Random Factor,Final Value
987,Michael Misa,78.0,82,Game Breaker,6'1,50,OHL,57.0,C,100,Canada,100,Low,0.9,High,0.8,24.57,20.664,7.5,2.85,5.0,5.0,65.584,1.0744560173414837,70.46712344132386
986,Matthew Schaefer,78.0,82,Game Breaker Def,6'2,75,OHL,57.0,LD,95,Canada,100,Low,0.9,Very High,0.9,24.57,23.247,11.25,2.85,4.75,5.0,71.667,0.9086100428867917,65.1173559435677
989,Anton Frondell,77.0,70,Elite,6'0,50,SHL,67.0,LW,90,Sweden,100,Medium,0.8,Medium,0.7,21.56,13.72,7.5,3.35,4.5,5.0,55.63,0.9790907818046707,54.466820191793836
990,Porter Martone,77.0,55,Top Line,6'3,75,OHL,57.0,RW,90,Canada,100,Medium,0.8,High,0.8,21.56,12.32,11.25,2.85,4.5,5.0,57.48,0.9054255863460706,52.04386270317214
991,Caleb Desnoyers,75.0,55,Top Line,6'2,75,QMJHL,55.0,C,100,Canada,100,Low,0.9,High,0.8,23.625,13.86,11.25,2.75,5.0,5.0,61.485,1.0630437584243815,65.36124548672309
988,James Hagens,73.0,82,Game Breaker,5'11,50,NCAA,61.0,C,100,United States,100,High,0.6,Medium,0.7,15.329999999999998,12.053999999999998,7.5,3.0500000000000003,5.0,5.0,47.934,1.0221457615709437,48.99553493514161
993,Victor Eklund,73.0,55,Top Line,5'11,50,SHL,67.0,LW,90,Sweden,100,Medium,0.8,Medium,0.7,20.44,10.78,7.5,3.35,4.5,5.0,51.57,0.9199451095262038,47.44156929826633
994,Jake O'Brien,72.0,70,Elite,6'0,50,OHL,57.0,C,100,Canada,100,Medium,0.8,Medium,0.7,20.16,13.72,7.5,2.85,5.0,5.0,54.230000000000004,1.0491242496725337,56.89400805974151
999,Lynden Lakovic,71.0,45,Top 6 F,6'4,75,WHL,56.0,LW,90,Canada,100,Medium,0.8,High,0.8,19.88,10.08,11.25,2.8000000000000003,4.5,5.0,53.51,1.0915994683783012,58.4114875529229
1000,Ben Kindel,71.0,45,Top 6 F,6'0,50,WHL,56.0,RW,90,Canada,100,Medium,0.8,Medium,0.7,19.88,8.819999999999999,7.5,2.8000000000000003,4.5,5.0,48.49999999999999,0.9402657489788477,45.60288882547411
1012,Bill Zonnon,71.0,45,Top 6 F,6'2,75,QMJHL,55.0,LW,90,Canada,100,High,0.6,Medium,0.7,14.91,6.614999999999999,11.25,2.75,4.5,5.0,45.025,1.0480250060824425,47.18732589886197
1002,Kashawn Aitcheson,71.0,45,Top 3,6'0,50,OHL,57.0,LD,95,Canada,100,Medium,0.8,Medium,0.7,19.88,8.819999999999999,7.5,2.85,4.75,5.0,48.8,0.9453686479767015,46.13399002126303
992,Roger McQueen,70.0,70,Elite,6'5,100,WHL,56.0,C,100,Canada,100,High,0.6,Medium,0.7,14.7,10.29,15.0,2.8000000000000003,5.0,5.0,52.78999999999999,1.0975034317615133,57.93720616269028
995,Brady Martin,70.0,45,Top 6 F,6'0,50,OHL,57.0,C,100,Canada,100,Low,0.9,Very High,0.9,22.049999999999997,12.7575,7.5,2.85,5.0,5.0,55.1575,1.0570154639201657,58.30233045117654
996,Radim Mrtka,70.0,55,Top Pair,6'6,100,WHL,56.0,RD,97.5,Czechia,85,Medium,0.8,High,0.8,19.599999999999998,12.32,15.0,2.8000000000000003,4.875,4.25,58.845,0.9846496581399569,57.94170913324576
997,Jackson Smith,70.0,45,Top 3,6'3,75,WHL,56.0,LD,95,Canada,100,Low,0.9,Medium,0.7,22.049999999999997,9.9225,11.25,2.8000000000000003,4.75,5.0,55.772499999999994,0.90792592729525,50.637298780074325
1003,Logan Hensler,70.0,45,Top 3,6'2,75,USHL,47.0,RD,97.5,United States,100,Medium,0.8,High,0.8,19.599999999999998,10.08,11.25,2.35,4.875,5.0,53.155,0.9182378537021127,48.8089331135358
1013,Jack Murtagh,70.0,37,Middle 6,6'0,50,OHL,57.0,C,100,Canada,100,Low,0.9,High,0.8,22.049999999999997,9.324,7.5,2.85,5.0,5.0,51.724,1.0402847530904793,53.80768856885195
1005,Cullen Potter,69.0,37,Middle 6,5'10,30,USHL,47.0,C,100,United States,100,Medium,0.8,High,0.8,19.32,8.288,4.5,2.35,5.0,5.0,44.458000000000006,1.0842741039633772,48.20465811400383
1004,Malcolm Spence,68.0,55,Top Line,6'2,75,OHL,57.0,LW,90,Canada,100,Medium,0.8,Low,0.6,19.04,9.24,11.25,2.85,4.5,5.0,51.88,1.0231289966156303,53.0799323444189
1001,Justin Carbonneau,68.0,45,Top 6 F,6'1,50,QMJHL,55.0,RW,90,Canada,100,High,0.6,Very High,0.9,14.279999999999998,8.504999999999999,7.5,2.75,4.5,5.0,42.535,0.9944345640322079,42.29827418110996
1007,Braeden Cootes,67.0,45,Top 6 F,6'0,50,WHL,56.0,C,100,Canada,100,Medium,0.8,Medium,0.7,18.759999999999998,8.819999999999999,7.5,2.8000000000000003,5.0,5.0,47.879999999999995,1.0395931774815381,49.77572133781604
1006,Cameron Reid,67.0,45,Top 3,6'0,50,OHL,57.0,LD,95,Canada,100,Medium,0.8,Low,0.6,18.759999999999998,7.56,7.5,2.85,4.75,5.0,46.419999999999995,0.9642038056833806,44.75834065982252
998,Carter Bear,67.0,55,Top Line,6'0,50,OHL,57.0,LW,90,Canada,100,High,0.6,Medium,0.7,14.069999999999997,8.084999999999999,7.5,2.85,4.5,5.0,42.004999999999995,0.9734301646556772,40.88893406636172
1009,Jack Nesbitt,66.0,45,Top 6 F,6'4,75,OHL,57.0,C,100,Canada,100,Medium,0.8,Medium,0.7,18.48,8.819999999999999,11.25,2.85,5.0,5.0,51.4,1.0029372289006704,51.55097356549446
1011,Ivan Ryabkin,66.0,55,Top Line,5'11,50,USHL,47.0,C,100,Russia,50,High,0.6,Low,0.6,13.86,6.93,7.5,2.35,5.0,2.5,38.14,1.0864570576178434,41.43747217754455
1017,Milton Gastrin,65.0,45,Top 6 F,6'2,75,USHL,47.0,C,100,Canada,100,Medium,0.8,Medium,0.7,18.2,8.819999999999999,11.25,2.35,5.0,5.0,50.62,1.0694671291602813,54.136426078093436
1008,Cameron Schmidt,65.0,55,Top Line,5'8,0,WHL,56.0,RW,90,Canada,100,Medium,0.8,Low,0.6,18.2,9.24,0.0,2.8000000000000003,4.5,5.0,39.739999999999995,0.908726669800658,36.11279785787814
1010,Cole Reschny,64.0,55,Top Line,5'10,30,WHL,56.0,C,100,Canada,100,High,0.6,Medium,0.7,13.44,8.084999999999999,4.5,2.8000000000000003,5.0,5.0,38.825,0.9092357817019652,35.3010792245788
1015,Joshua Ravensbergen,64.0,82,Game Breaker,6'4,75,WHL,56.0,G,75,Canada,100,High,0.6,Medium,0.7,13.44,12.053999999999998,11.25,2.8000000000000003,3.75,5.0,48.294,0.9955741216026921,48.08025662868041
1016,William Moore,64.0,45,Top 6 F,6'2,75,USHL,47.0,C,100,United States,100,High,0.6,Medium,0.7,13.44,6.614999999999999,11.25,2.35,5.0,5.0,43.655,1.004734954000987,43.861704416913085
1014,Blake Fiddler,63.0,37,Top 4,6'4,75,WHL,56.0,RD,97.5,United States,100,Medium,0.8,Medium,0.7,17.64,7.251999999999999,11.25,2.8000000000000003,4.875,5.0,48.81699999999999,1.0147074151938322,49.5349718875173
987,Michael Misa,78.0,82,Game Breaker,6'1,50,OHL,57.0,C,100,Canada,100,Low,0.9,High,0.8,24.57,20.664,7.5,2.85,5.0,5.0,65.584,1.0744560173414837,70.46712344132386
986,Matthew Schaefer,78.0,82,Game Breaker Def,6'2,75,OHL,57.0,LD,95,Canada,100,Low,0.9,Very High,0.9,24.57,23.247,11.25,2.85,4.75,5.0,71.667,0.9086100428867917,65.1173559435677
989,Anton Frondell,77.0,70,Elite,6'0,50,SHL,67.0,LW,90,Sweden,100,Medium,0.8,Medium,0.7,21.56,13.72,7.5,3.35,4.5,5.0,55.63,0.9790907818046707,54.466820191793836
990,Porter Martone,77.0,55,Top Line,6'3,75,OHL,57.0,RW,90,Canada,100,Medium,0.8,High,0.8,21.56,12.32,11.25,2.85,4.5,5.0,57.48,0.9054255863460706,52.04386270317214
